"species" "tarsus.mm" "tail.mm" "wing.mm" "mass.g" "foraging" "location" "measureID"
"60" "Geotrygon_goldmani" 36.22 62.52 148.62 258 "terrestrial" "America" "measureA"
"611" "Geotrygon_lawrencii" 37 72.3 145.9 220 "terrestrial" "America" "measureB"
"1053" "Phapitreron_leucotis" 21.7 86.4 125.3 145 "arboreal" "Eurasia" "measureB"
"743" "Leptotila_cassini" 29.2 47 133.5 155.5 "terrestrial" "America" "measureB"
"562" "Geotrygon_albifacies" 46.72 78.12 163.92 155 "terrestrial" "America" "measureA"
"722" "Hemiphaga_novaeseelandiae" 34.02 182.42 261.72 725 "arboreal" "Australasia" "measureA"
"572" "Geotrygon_chiriquensis" 37.32 49.12 158.12 301.5 "terrestrial" "America" "measureA"
"1352" "Streptopelia_vinacea" 17.62 91.42 139.92 110.5 "terrestrial" "Africa" "measureA"
"213" "Columbina_picui" 14.2 54.9 87.7 52 "terrestrial" "America" "measureB"
"25" "Drepanoptila_holosericea" 30.32 70.12 147.22 190 "arboreal" "Australasia" "measureA"
"763" "Leptotila_megalura" 30.4 67 153.7 145 "terrestrial" "America" "measureB"
"523" "Geopelia_cuneata" 16.4 102.2 94.6 30 "terrestrial" "Australasia" "measureB"
"153" "Zenaida_macroura" 17.32 93.92 141.42 135 "terrestrial" "America" "measureA"
"862" "Metriopelia_aymara" 15.62 35.22 105.72 61.8 "terrestrial" "America" "measureA"
"1442" "Turtur_brehmeri" 20.52 102.42 135.92 112.5 "terrestrial" "Africa" "measureA"
"1492" "Zenaida_auriculata" 25.42 84.82 147.82 150 "terrestrial" "America" "measureA"
"42" "Chalcophaps_stephani" 25.3 76.6 134.6 122 "terrestrial" "Australasia" "measureB"
"1341" "Streptopelia_turtur" 20.8 94.6 292.8 135.5 "terrestrial" "Eurasia" "measureB"
"514" "Gallicolumba_xanthonura" 28.8 87.1 135.9 106 "arboreal" "Australasia" "measureB"
"802" "Leucosarcia_melanoleuca" 34.82 130.62 190.22 415 "terrestrial" "Australasia" "measureA"
"5" "Claravis_pretiosa" 18.62 63.92 173.52 64.5 "terrestrial" "America" "measureA"
"391" "Gallicolumba_erythroptera" 35 67.3 149.4 113.5 "terrestrial" "Australasia" "measureB"
"693" "Goura_victoria" 90.2 289.4 379.1 2384 "terrestrial" "Australasia" "measureB"
"76" "Leptotila_megalura" 29.92 70.12 147.02 145 "terrestrial" "America" "measureA"
"56" "Geotrygon_albifacies" 44.32 74.12 160.72 155 "terrestrial" "America" "measureA"
"1241" "Streptopelia_decaocto" 16 124 169.2 186 "terrestrial" "Eurasia" "measureB"
"120" "Reinwardtoena_browni" 14.92 194.52 283.42 302 "arboreal" "Australasia" "measureA"
"1432" "Turtur_afer" 20.02 83.92 106.22 63.5 "terrestrial" "Africa" "measureA"
"642" "Geotrygon_saphirina" 26.12 21.42 140.92 203 "terrestrial" "America" "measureA"
"1513" "Zenaida_galapagoensis" 27.1 42.1 143.6 79.5 "terrestrial" "America" "measureB"
"741" "Leptotila_cassini" 29.1 41 136.9 155.5 "terrestrial" "America" "measureB"
